Feature,Importance,Model
ca,0.574784,Random Forest (REG)
oldpeak,0.081993,Random Forest (REG)
thalach,0.071055,Random Forest (REG)
chol,0.058236,Random Forest (REG)
age,0.053337,Random Forest (REG)
trestbps,0.044058,Random Forest (REG)
cp_4,0.038046,Random Forest (REG)
thal_7,0.013902,Random Forest (REG)
exang,0.013655,Random Forest (REG)
slope_2,0.009636,Random Forest (REG)
thal_6,0.008426,Random Forest (REG)
sex,0.008005,Random Forest (REG)
cp_2,0.007220,Random Forest (REG)
restecg_2,0.005976,Random Forest (REG)
cp_3,0.004200,Random Forest (REG)
fbs,0.004058,Random Forest (REG)
slope_3,0.003413,Random Forest (REG)
ca,0.563831,XGBoost (REG)
cp_3,0.107820,XGBoost (REG)
cp_4,0.069638,XGBoost (REG)
thal_6,0.064091,XGBoost (REG)
slope_2,0.035241,XGBoost (REG)
cp_2,0.029405,XGBoost (REG)
thalach,0.020535,XGBoost (REG)
thal_7,0.017185,XGBoost (REG)
oldpeak,0.015354,XGBoost (REG)
exang,0.015217,XGBoost (REG)
trestbps,0.013244,XGBoost (REG)
chol,0.012040,XGBoost (REG)
sex,0.010181,XGBoost (REG)
fbs,0.009158,XGBoost (REG)
age,0.008722,XGBoost (REG)
slope_3,0.004562,XGBoost (REG)
restecg_2,0.003777,XGBoost (REG)
ca,0.327799,Random Forest (CLS)
oldpeak,0.115964,Random Forest (CLS)
age,0.096942,Random Forest (CLS)
chol,0.087055,Random Forest (CLS)
thalach,0.067857,Random Forest (CLS)
trestbps,0.059245,Random Forest (CLS)
cp_4,0.051703,Random Forest (CLS)
exang,0.042621,Random Forest (CLS)
thal_7,0.041989,Random Forest (CLS)
slope_2,0.028596,Random Forest (CLS)
cp_3,0.018091,Random Forest (CLS)
restecg_2,0.016139,Random Forest (CLS)
sex,0.014825,Random Forest (CLS)
slope_3,0.011566,Random Forest (CLS)
cp_2,0.008802,Random Forest (CLS)
fbs,0.007494,Random Forest (CLS)
thal_6,0.003311,Random Forest (CLS)
ca,0.376472,XGBoost (CLS)
cp_4,0.081845,XGBoost (CLS)
oldpeak,0.075779,XGBoost (CLS)
exang,0.069475,XGBoost (CLS)
slope_2,0.062887,XGBoost (CLS)
restecg_2,0.055713,XGBoost (CLS)
thal_7,0.048010,XGBoost (CLS)
age,0.043180,XGBoost (CLS)
chol,0.036646,XGBoost (CLS)
sex,0.035040,XGBoost (CLS)
trestbps,0.032218,XGBoost (CLS)
cp_3,0.030298,XGBoost (CLS)
thalach,0.027034,XGBoost (CLS)
fbs,0.025403,XGBoost (CLS)
thal_6,0.000000,XGBoost (CLS)
cp_2,0.000000,XGBoost (CLS)
slope_3,0.000000,XGBoost (CLS)
